horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Whiteandblue","14:53:00","2022-01-01","Southwell","All Weather","Maiden","5f ","5","Standard To Slow","9","Class 5","21","4","Sanna, G","3","Smart, B","116","70","10","2.05",
"Whiteandblue","17:30:00","2021-12-11","Newcastle","All Weather","Novices","6f ","6","Standard","5","Class 5","33","3","Sanna, G","2","Smart, B","117","69","2","1.25",
"Wizarding","16:15:00","2022-10-24","Redcar","Flat (Turf)","Maiden","6f ","6","Heavy","11","Class 5","32","6","McDonald, P J","12","Main, Mrs H S","133","0","3","4.8",
"Wizarding","18:00:00","2022-09-22","Southwell","All Weather","Maiden","7f ","7","Standard","13","Class 5","No Prev","9","Bryan, Joshua","150","Main, Mrs H S","133","0","12","11.5",
"Abolish","13:20:00","2022-10-22","Doncaster","Flat (Turf)","Handicap","7f ","7","Heavy","15","Class 3","14","13","Mullen, Andrew","50","Jardine, I","139","94","13","17.1",
"Abolish","15:15:00","2022-10-08","York","Flat (Turf)","Handicap","6f ","6","Good To Soft","19","Class 2","14","13","Mullen, Andrew","40","Jardine, I","129","95","12","7.25",
"Abolish","15:48:00","2022-09-24","Ripon","Flat (Turf)","Handicap","6f ","6","Good","7","Class 2","7","1","Hanagan, Paul","4","Jardine, I","125","89","5",,
"Abolish","14:30:00","2022-09-17","Ayr","Flat (Turf)","Handicap","6f ","6","Good","25","Class 2","15","8","Mullen, Andrew","25","Jardine, I","137","90","11","5.85",
"Abolish","15:03:00","2022-09-02","Haydock","Flat (Turf)","Handicap","6f ","6","Good To Firm","6","Class 2","8","2","Hanagan, Paul","12","Jardine, I","131","90","2","1.25",
"Cry Havoc (IRE)","20:00:00","2022-10-13","Chelmsford City","All Weather","Handicap","7f ","7","Standard","11","Class 4","63","1","Dawson, R","7.5","Guest, Rae","137","82","8",,
"Cry Havoc (IRE)","17:10:00","2022-08-11","Lingfield","All Weather","Handicap","7f ","7","Standard","14","Class 3","7","1","Dawson, R","14","Guest, Rae","127","79","3",,
"Cry Havoc (IRE)","17:40:00","2022-08-04","Doncaster","Flat (Turf)","Handicap","1m ","8","Good To Firm","13","Class 3","32","12","Noble, Cameron","50","Guest, Rae","132","79","13","16.2",
"Cry Havoc (IRE)","14:10:00","2022-07-03","Chelmsford City","All Weather","Handicap","7f ","7","Standard","6","Class 4","79","4","Kirby, Adam","5","Guest, Rae","138","79","2","1.25",
"Cry Havoc (IRE)","15:30:00","2022-04-15","Lingfield","All Weather","Handicap","7f ","7","Standard","12","Class 4","27","3","Curtis, B A","14","Guest, Rae","127","79","8","2.9",
"Diocles Of Rome (IRE)","19:00:00","2022-10-05","Kempton","All Weather","Handicap","7f ","7","Standard To Slow","13","Class 3","301","3","Crouch, Hector","12","Beckett, R M","135","88","6","4.25",
"Diocles Of Rome (IRE)","19:00:00","2021-12-08","Kempton","All Weather","Handicap","7f ","7","Standard To Slow","8","Class 2","63","5","Pearson, Laura","6","Beckett, R M","118","90","2","4.6",
"Diocles Of Rome (IRE)","18:30:00","2021-10-06","Kempton","All Weather","Handicap","7f ","7","Standard To Slow","8","Class 3","18","1","Crouch, Hector","12","Beckett, R M","130","87","9",,
"Diocles Of Rome (IRE)","13:40:00","2021-09-18","Newbury","Flat (Turf)","Handicap","7f ","7","Good","11","Class 3","35","9","Hornby, Rob","16","Beckett, R M","138","88","9","8.68",
"Diocles Of Rome (IRE)","14:55:00","2021-08-14","Newbury","Flat (Turf)","Handicap","7f ","7","Good","7","Class 3","28","5","Crouch, Hector","22","Beckett, R M","135","90","4","2.8",
"Documenting","16:35:00","2022-10-27","Lingfield","All Weather","Handicap","7f ","7","Standard","11","Class 2","40","5","Fallon, Cieren","3","Frost, Kevin","133","100","8","4.2",
"Documenting","15:40:00","2022-09-17","Ayr","Flat (Turf)","Handicap","6f ","6","Good","24","Class 2","14","15","Mitchell, Jack","33","Frost, Kevin","131","102","24","6.25",
"Documenting","15:10:00","2022-09-03","Ascot","Flat (Turf)","Handicap","7f ","7","Good To Soft","16","Class 2","21","12","Voikhansky, Alexander","20","Frost, Kevin","124","102","11","2.91",
"Documenting","15:00:00","2022-08-13","Newbury","Flat (Turf)","Handicap","7f ","7","Good To Firm","6","Class 2","21","1","Mitchell, Jack","3.5","Frost, Kevin","138","99","5",,
