horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Carbonado","17:30:00","2022-04-02","Wolverhampton","All Weather","Handicap","1m1½f ","9.5","Standard","13","Class 6","192","8","Mathers, Patrick","40","Fahey, R A","124","46","9","9.3",
"Carbonado","13:30:00","2021-09-22","Redcar","Flat (Turf)","Handicap Nursery","1m ","8","Good","16","Class 6","66","7","Mathers, Patrick","14","Fahey, R A","125","48","3","5.05",
"Carbonado","13:10:00","2021-07-18","Redcar","Flat (Turf)","Novices","7f ","7","Good To Firm","12","Class 5","18","10","Hanagan, Paul","100","Fahey, R A","126","0","13","18.45",
"Carbonado","13:00:00","2021-06-30","Thirsk","Flat (Turf)","Novices","6f ","6","Good To Firm","13","Class 5","11","13","Hanagan, Paul","25","Fahey, R A","126","0","3","8.1",
"Casi Crudo","13:00:00","2022-04-28","Lingfield","All Weather","Handicap","1m4f ","12","Standard","8","Class 6","11","8","Buick, William","3","Johnston, M","133","60","6","40.75",
"Casi Crudo","18:00:00","2022-04-17","Southwell","All Weather","Handicap","1m4f ","12","Standard To Slow","9","Class 6","110","3","Fanning, Joe","6","Johnston, M","128","60","7","1.78",
"Casi Crudo","15:15:00","2021-12-28","Newcastle","All Weather","Novices","1m2f ","10","Standard To Slow","9","Class 5","12","8","Beasley, Connor","40","Johnston, M","131","0","8","13.5",
"Casi Crudo","16:30:00","2021-12-16","Chelmsford City","All Weather","Novices","1m2f ","10","Standard","13","Class 4","80","7","Hart, Jason","14","Johnston, M","131","0","4","9.5",
"Casi Crudo","14:25:00","2021-09-27","Bath","Flat (Turf)","Novices","1m ","8","Good To Firm","8","Class 4","No Prev","6","Fanning, Joe","9","Johnston, M","128","0","3","21.5",
"Crazy Maisie (IRE)","17:01:00","2022-05-02","Beverley","Flat (Turf)","Handicap","1m2f ","10","Good","11","Class 6","53","5","Elliott, Andrew","7","Furtado, Ivan","137","62","4","17",
"Crazy Maisie (IRE)","14:55:00","2022-03-10","Southwell","All Weather","Maiden","1m ","8","Standard To Slow","10","Class 5","12","6","Haynes, Joey","8","Furtado, Ivan","117","0","7","4.55",
"Crazy Maisie (IRE)","16:40:00","2022-02-26","Wolverhampton","All Weather","Maiden","1m1½f ","9.5","Standard","9","Class 5","37","4","Edmunds, Lewis","11","Furtado, Ivan","126","0","9","4.4",
"Crazy Maisie (IRE)","18:30:00","2022-01-20","Newcastle","All Weather","Novices","7f ","7","Standard To Slow","9","Class 5","No Prev","5","ONeill, K T","16","Furtado, Ivan","126","0","6","5.53",
"Golden George (IRE)","17:01:00","2022-05-02","Beverley","Flat (Turf)","Handicap","1m2f ","10","Good","11","Class 6","181","8","Fentiman, Duran","25","Easterby, T D","121","46","3","19.65",
"Golden George (IRE)","12:05:00","2021-11-02","Redcar","Flat (Turf)","Novices","7f ","7","Soft","13","Class 5","8","12","McCain, Miss Ella","125","Easterby, T D","126","0","9","21.9",
"Golden George (IRE)","13:00:00","2021-10-25","Redcar","Flat (Turf)","Novices","6f ","6","Soft","15","Class 5","17","8","Allan, David","40","Easterby, T D","128","0","12","12.85",
"Golden George (IRE)","16:55:00","2021-10-08","York","Flat (Turf)","Novices","1m ","8","Soft","8","Class 4","No Prev","8","Fentiman, Duran","22","Easterby, T D","125","0","7","28.35",
"Lisas Dream (IRE)","17:45:00","2022-04-24","Wetherby","Flat (Turf)","Handicap","1m6f ","14","Good To Firm","13","Class 6","20","11","Hardie, Cameron","66","Carroll, D","117","47","13","16.9",
"Lisas Dream (IRE)","16:20:00","2022-04-04","Redcar","Flat (Turf)","Handicap","1m2f ","10","Soft","14","Class 5","174","10","Hardie, Cameron","66","Carroll, D","114","50","12","21.05",
"Lisas Dream (IRE)","14:40:00","2021-10-12","Leicester","Flat (Turf)","Handicap Nursery","1m½f ","8.5","Good To Soft","10","Class 6","20","5","Shaw, Harrison","80","Carroll, D","131","53","9","14.35",
"Lisas Dream (IRE)","13:30:00","2021-09-22","Redcar","Flat (Turf)","Handicap Nursery","1m ","8","Good","16","Class 6","19","12","Shaw, Harrison","18","Carroll, D","133","56","5","9.48",
"Lisas Dream (IRE)","13:45:00","2021-09-03","Haydock","Flat (Turf)","Novices","6f ","6","Good To Firm","8","Class 4","28","8","Wheatley, Zak","100","Carroll, D","119","0","4","13.3",
